batch_job_id,parent_workload_id,source_time,vm_id,vCPU,min_core_usage,avg_core_usage,max_core_usage
bj_00_t00,bj_00,0,kJ+d/Q0CPUqfPTe3cO8YkLjREYVpHXX8H5KxlY6dgdVz+WlK4KvcRpezlw8AcpQW,2,0.468346456958913,0.5241534935201005,0.6612053931850157
bj_00_t01,bj_00,1,kJ+d/Q0CPUqfPTe3cO8YkLjREYVpHXX8H5KxlY6dgdVz+WlK4KvcRpezlw8AcpQW,2,0.0418209354290523,0.4765111776078165,0.731045990692331
bj_00_t02,bj_00,2,kJ+d/Q0CPUqfPTe3cO8YkLjREYVpHXX8H5KxlY6dgdVz+WlK4KvcRpezlw8AcpQW,2,0.0848705671926942,0.5437807081110583,0.739558099729873
bj_00_t03,bj_00,3,kJ+d/Q0CPUqfPTe3cO8YkLjREYVpHXX8H5KxlY6dgdVz+WlK4KvcRpezlw8AcpQW,2,0.0544953867589121,0.4680331698410381,0.6425310300698349
bj_00_t04,bj_00,4,kJ+d/Q0CPUqfPTe3cO8YkLjREYVpHXX8H5KxlY6dgdVz+WlK4KvcRpezlw8AcpQW,2,0.0525710702641613,0.4388683700849915,0.6664546999158222
bj_00_t05,bj_00,5,kJ+d/Q0CPUqfPTe3cO8YkLjREYVpHXX8H5KxlY6dgdVz+WlK4KvcRpezlw8AcpQW,2,0.0475170277767195,0.4951236492368969,0.8859157955983262
bj_00_t06,bj_00,6,kJ+d/Q0CPUqfPTe3cO8YkLjREYVpHXX8H5KxlY6dgdVz+WlK4KvcRpezlw8AcpQW,2,0.0517718391304569,0.449275298762966,0.5550148931063683
bj_00_t07,bj_00,7,kJ+d/Q0CPUqfPTe3cO8YkLjREYVpHXX8H5KxlY6dgdVz+WlK4KvcRpezlw8AcpQW,2,0.0427845274160715,0.5109957023024875,0.6898135258099671
bj_00_t08,bj_00,8,kJ+d/Q0CPUqfPTe3cO8YkLjREYVpHXX8H5KxlY6dgdVz+WlK4KvcRpezlw8AcpQW,2,0.0514398469634339,0.5099601596731832,0.8151931035316544
bj_00_t09,bj_00,9,kJ+d/Q0CPUqfPTe3cO8YkLjREYVpHXX8H5KxlY6dgdVz+WlK4KvcRpezlw8AcpQW,2,0.0665631241067774,0.5591165222941205,0.8016587161691525
bj_00_t10,bj_00,10,kJ+d/Q0CPUqfPTe3cO8YkLjREYVpHXX8H5KxlY6dgdVz+WlK4KvcRpezlw8AcpQW,2,0.0502102718697656,0.5676805042412646,0.9132444471550768
bj_00_t11,bj_00,11,kJ+d/Q0CPUqfPTe3cO8YkLjREYVpHXX8H5KxlY6dgdVz+WlK4KvcRpezlw8AcpQW,2,0.0682799499446166,0.5827529645027935,1.0092619170861137
bj_00_t12,bj_00,12,kJ+d/Q0CPUqfPTe3cO8YkLjREYVpHXX8H5KxlY6dgdVz+WlK4KvcRpezlw8AcpQW,2,0.0492445566175104,0.586079279580406,1.091302765217261
bj_00_t13,bj_00,13,kJ+d/Q0CPUqfPTe3cO8YkLjREYVpHXX8H5KxlY6dgdVz+WlK4KvcRpezlw8AcpQW,2,0.045134661724295,0.5857523684574246,0.9803979975275624
bj_00_t14,bj_00,14,kJ+d/Q0CPUqfPTe3cO8YkLjREYVpHXX8H5KxlY6dgdVz+WlK4KvcRpezlw8AcpQW,2,0.0553492554409359,0.4639630286274145,0.7073987934642345
bj_00_t15,bj_00,15,kJ+d/Q0CPUqfPTe3cO8YkLjREYVpHXX8H5KxlY6dgdVz+WlK4KvcRpezlw8AcpQW,2,0.0487176949470349,0.5131417042042861,0.729876484405071
bj_00_t16,bj_00,16,kJ+d/Q0CPUqfPTe3cO8YkLjREYVpHXX8H5KxlY6dgdVz+WlK4KvcRpezlw8AcpQW,2,0.0417089612589066,0.3113491754347748,0.577279762802855
bj_00_t17,bj_00,17,kJ+d/Q0CPUqfPTe3cO8YkLjREYVpHXX8H5KxlY6dgdVz+WlK4KvcRpezlw8AcpQW,2,0.0410929658926807,0.306915798228237,0.6887712721124061
bj_00_t18,bj_00,18,kJ+d/Q0CPUqfPTe3cO8YkLjREYVpHXX8H5KxlY6dgdVz+WlK4KvcRpezlw8AcpQW,2,0.0448008570237117,0.2585231923609873,0.5181950505025922
bj_00_t19,bj_00,19,kJ+d/Q0CPUqfPTe3cO8YkLjREYVpHXX8H5KxlY6dgdVz+WlK4KvcRpezlw8AcpQW,2,0.0494547448693669,0.2969908083817509,0.5381805594334419
bj_00_t20,bj_00,20,kJ+d/Q0CPUqfPTe3cO8YkLjREYVpHXX8H5KxlY6dgdVz+WlK4KvcRpezlw8AcpQW,2,0.0574738075066918,0.3456216039507277,0.6416240833342469
bj_00_t21,bj_00,21,kJ+d/Q0CPUqfPTe3cO8YkLjREYVpHXX8H5KxlY6dgdVz+WlK4KvcRpezlw8AcpQW,2,0.04525813012724,0.4813599881664917,0.6496775985743377
bj_00_t22,bj_00,22,kJ+d/Q0CPUqfPTe3cO8YkLjREYVpHXX8H5KxlY6dgdVz+WlK4KvcRpezlw8AcpQW,2,0.0447869184385319,0.5093659270788509,0.7952962918701197
bj_00_t23,bj_00,23,kJ+d/Q0CPUqfPTe3cO8YkLjREYVpHXX8H5KxlY6dgdVz+WlK4KvcRpezlw8AcpQW,2,0.0443714485700264,0.5539022805928893,0.9570204056691446
bj_01_t00,bj_01,0,c+V1miiXAjC39gJPKi8VLgWTMB1GnHrD9zP63NK6jpnvTEgHwYtSow5IioMGbup0,2,0.4216400951022641,0.5641763312464962,1.0373376428186063
bj_01_t01,bj_01,1,c+V1miiXAjC39gJPKi8VLgWTMB1GnHrD9zP63NK6jpnvTEgHwYtSow5IioMGbup0,2,0.3710785241761048,0.5544829652339667,1.4474247819435275
bj_01_t02,bj_01,2,c+V1miiXAjC39gJPKi8VLgWTMB1GnHrD9zP63NK6jpnvTEgHwYtSow5IioMGbup0,2,0.3872150464369339,0.5543516240741926,1.026432650059857
