server,time,scenario,load,committed_load,gamma,phi,u,realized_utilization,overbooking_ratio
0,0,scen_01,5.153342758167681,5.153342758167681,0,0,1,0.6441678447709601,0.6441678447709601
0,1,scen_01,4.751004719117312,4.751004719117312,0,0,1,0.593875589889664,0.593875589889664
0,2,scen_01,4.549105261495826,4.549105261495826,0,0,1,0.5686381576869782,0.5686381576869782
0,3,scen_01,4.95251106396022,4.95251106396022,0,0,1,0.6190638829950275,0.6190638829950275
0,4,scen_01,5.900907108281722,5.9009071082817215,0,0,1,0.7376133885352153,0.7376133885352152
0,5,scen_01,6.534777141462782,6.534777141462782,0,0,1,0.8168471426828477,0.8168471426828477
0,6,scen_01,6.151063278326915,6.151063278326914,0,0,1,0.7688829097908644,0.7688829097908643
0,7,scen_01,6.693320464891521,6.693320464891521,0,0,1,0.8366650581114401,0.8366650581114401
0,8,scen_01,5.65556593789835,5.65556593789835,0,0,1,0.7069457422372938,0.7069457422372938
0,9,scen_01,6.214786936746725,6.214786936746726,0,0,1,0.7768483670933406,0.7768483670933407
0,10,scen_01,5.792784302350541,5.79278430235054,0,0,1,0.7240980377938177,0.7240980377938175
0,11,scen_01,6.67152571700594,6.671525717005939,0,0,1,0.8339407146257425,0.8339407146257424
0,12,scen_01,7.171557777015492,7.171557777015492,0,0,1,0.8964447221269365,0.8964447221269365
0,13,scen_01,6.689318022900332,6.6893180229003315,0,0,1,0.8361647528625415,0.8361647528625414
0,14,scen_01,6.749351220554109,6.749351220554108,0,0,1,0.8436689025692636,0.8436689025692635
0,15,scen_01,7.130545650087887,7.130545650087887,0,0,1,0.8913182062609859,0.8913182062609859
0,16,scen_01,7.061890704474539,7.06189070447454,0,0,1,0.8827363380593174,0.8827363380593175
0,17,scen_01,6.387887567071638,6.387887567071639,0,0,1,0.7984859458839547,0.7984859458839548
0,18,scen_01,7.031296342362322,7.031296342362323,0,0,1,0.8789120427952902,0.8789120427952903
0,19,scen_01,6.920614697782105,6.920614697782104,0,0,1,0.8650768372227631,0.865076837222763
0,20,scen_01,5.879972592005261,5.879972592005261,0,0,1,0.7349965740006577,0.7349965740006577
0,21,scen_01,5.647184343653244,5.647184343653244,0,0,1,0.7058980429566555,0.7058980429566555
0,22,scen_01,4.766186838219726,4.766186838219726,0,0,1,0.5957733547774657,0.5957733547774657
0,23,scen_01,5.316370556837064,5.316370556837064,0,0,1,0.664546319604633,0.664546319604633
1,0,scen_01,7.083235934426339,7.083235934426338,0,0,1,0.8854044918032924,0.8854044918032923
1,1,scen_01,5.510708699224602,5.510708699224601,0,0,1,0.6888385874030752,0.6888385874030751
1,2,scen_01,6.733576755873461,6.733576755873461,0,0,1,0.8416970944841826,0.8416970944841826
1,3,scen_01,7.544085025237798,7.544085025237798,0,0,1,0.9430106281547247,0.9430106281547247
1,4,scen_01,6.680314615089609,6.680314615089609,0,0,1,0.8350393268862011,0.8350393268862011
1,5,scen_01,6.969372129018349,6.969372129018349,0,0,1,0.8711715161272936,0.8711715161272936
1,6,scen_01,6.441820902991195,6.4418209029911955,0,0,1,0.8052276128738993,0.8052276128738994
1,7,scen_01,5.5521178465201855,5.5521178465201855,0,0,1,0.6940147308150232,0.6940147308150232
1,8,scen_01,6.668906477565094,6.668906477565093,0,0,1,0.8336133096956367,0.8336133096956366
1,9,scen_01,7.025559967117401,7.025559967117401,0,0,1,0.8781949958896751,0.8781949958896751
1,10,scen_01,5.613709255165981,5.613709255165982,0,0,1,0.7017136568957476,0.7017136568957477
1,11,scen_01,6.524155612440606,6.524155612440606,0,0,1,0.8155194515550758,0.8155194515550758
1,12,scen_01,7.182345609696281,7.182345609696281,0,0,1,0.8977932012120351,0.8977932012120351
1,13,scen_01,4.794011299077597,4.794011299077597,0,0,1,0.5992514123846996,0.5992514123846996
1,14,scen_01,5.521182528781232,5.521182528781233,0,0,1,0.690147816097654,0.6901478160976541
1,15,scen_01,4.670820894840442,4.670820894840443,0,0,1,0.5838526118550552,0.5838526118550553
1,16,scen_01,5.809828221731063,5.809828221731064,0,0,1,0.7262285277163829,0.726228527716383
1,17,scen_01,5.589757304474742,5.589757304474743,0,0,1,0.6987196630593427,0.6987196630593429
1,18,scen_01,6.795876477543078,6.795876477543078,0,0,1,0.8494845596928847,0.8494845596928847
1,19,scen_01,4.748156923714509,4.748156923714509,0,0,1,0.5935196154643136,0.5935196154643136
1,20,scen_01,4.012003134953907,4.012003134953907,0,0,1,0.5015003918692383,0.5015003918692383
1,21,scen_01,5.68590665884271,5.68590665884271,0,0,1,0.7107383323553388,0.7107383323553388
