variant,status,runtime,nodes,iter_count,bar_iter_count,variables,binary_vars,constraints,objective,bound,gap,sol_count,barload_mode,exact_indicator_uppers,od_chance_budget,spot_chance_budget,spot_service_ratio,migration,batch_completion,slot_symmetry
base,TIME_LIMIT,30.01173686981201,1.0,100001.0,0.0,9570,6114,21773,8890.28658980782,5872.447007728445,0.3394535768440971,9,bigm,1,1,1,1,1,1,0
barload_none,OPTIMAL,0.6114778518676758,1.0,4584.0,0.0,8418,5538,19469,8890.286599023932,8890.286599023932,0.0,4,none,1,1,1,1,1,1,0
barload_indicator,OPTIMAL,0.6488320827484131,1.0,4729.0,0.0,9570,6114,20621,8890.28659902394,8890.28659902394,0.0,4,indicator,1,1,1,1,1,1,0
no_exact_indicator_uppers,TIME_LIMIT,30.008071899414062,1.0,108182.0,0.0,9570,6114,21161,8890.28659902394,5894.85962536066,0.33693255445692233,4,bigm,0,1,1,1,1,1,0
no_od_chance_budget,TIME_LIMIT,30.00641393661499,1.0,79720.0,0.0,9570,6114,21767,8890.286599023939,3313.531215009043,0.6272863446975,4,bigm,1,0,1,1,1,1,0
no_spot_chance_budget,TIME_LIMIT,30.010361909866333,1.0,73642.0,0.0,9570,6114,21470,9201.524545717844,2499.9999999927195,0.7283058924016939,5,bigm,1,1,0,1,1,1,0
no_spot_service_ratio,TIME_LIMIT,30.007791996002197,1.0,99359.0,0.0,9570,6114,21761,8990.28659902394,5845.143299511976,0.34983793507244,9,bigm,1,1,1,0,1,1,0
no_migration,TIME_LIMIT,30.008931875228882,1074.0,332679.0,0.0,9294,5838,20105,8990.28659902306,6045.143299511975,0.32759170323125436,5,bigm,1,1,1,1,0,1,0
no_batch_completion,TIME_LIMIT,30.00532579421997,48.0,137557.0,0.0,9570,6114,21761,6221.765467519851,4724.9325383692785,0.24058009530649296,4,bigm,1,1,1,1,1,0,0
slot_symmetry,TIME_LIMIT,30.010488986968994,1.0,92738.0,0.0,9570,6114,21778,8890.28659902394,8396.342859960352,0.055559934267790455,9,bigm,1,1,1,1,1,1,1
