workload_id,scenario,time,server,active,suspended
sp_00,scen_01,0,4,1,0
sp_00,scen_01,1,4,1,0
sp_00,scen_01,2,4,1,0
sp_00,scen_01,3,4,1,0
sp_00,scen_01,4,4,1,0
sp_00,scen_01,5,4,1,0
sp_00,scen_01,6,4,1,0
sp_00,scen_01,7,4,1,0
sp_00,scen_01,8,4,1,0
sp_00,scen_01,9,4,1,0
sp_00,scen_01,10,4,1,0
sp_00,scen_01,11,4,1,0
sp_00,scen_01,12,4,1,0
sp_00,scen_01,13,4,1,0
sp_00,scen_01,14,4,1,0
sp_00,scen_01,15,4,1,0
sp_00,scen_01,16,4,1,0
sp_00,scen_01,17,4,1,0
sp_00,scen_01,18,4,1,0
sp_00,scen_01,19,4,1,0
sp_00,scen_01,20,4,1,0
sp_00,scen_01,21,4,1,0
sp_00,scen_01,22,4,1,0
sp_00,scen_01,23,4,1,0
sp_01,scen_01,0,0,1,0
sp_01,scen_01,1,0,1,0
sp_01,scen_01,2,0,1,0
sp_01,scen_01,3,0,1,0
sp_01,scen_01,4,0,1,0
sp_01,scen_01,5,0,1,0
sp_01,scen_01,6,0,1,0
sp_01,scen_01,7,0,1,0
sp_01,scen_01,8,0,1,0
sp_01,scen_01,9,0,1,0
sp_01,scen_01,10,0,1,0
sp_01,scen_01,11,0,1,0
sp_01,scen_01,12,0,1,0
sp_01,scen_01,13,0,1,0
sp_01,scen_01,14,0,1,0
sp_01,scen_01,15,0,1,0
sp_01,scen_01,16,0,1,0
sp_01,scen_01,17,0,1,0
sp_01,scen_01,18,0,1,0
sp_01,scen_01,19,0,1,0
sp_01,scen_01,20,0,1,0
sp_01,scen_01,21,0,1,0
sp_01,scen_01,22,0,1,0
sp_01,scen_01,23,0,1,0
sp_02,scen_01,0,0,1,0
sp_02,scen_01,1,0,1,0
sp_02,scen_01,2,0,1,0
sp_02,scen_01,3,0,1,0
sp_02,scen_01,4,0,1,0
sp_02,scen_01,5,0,1,0
sp_02,scen_01,6,0,1,0
sp_02,scen_01,7,0,1,0
sp_02,scen_01,8,0,1,0
sp_02,scen_01,9,0,1,0
sp_02,scen_01,10,0,1,0
sp_02,scen_01,11,0,1,0
sp_02,scen_01,12,0,1,0
sp_02,scen_01,13,0,1,0
sp_02,scen_01,14,0,1,0
