variant,status,runtime,nodes,iter_count,bar_iter_count,variables,binary_vars,constraints,objective,bound,gap,sol_count,barload_mode,exact_indicator_uppers,od_chance_budget,spot_chance_budget,spot_service_ratio,migration,batch_completion,slot_symmetry
base,TIME_LIMIT,45.02280807495117,1.0,42399.0,0.0,14244,9204,33239,28089.965852362977,0.0,1.0,1,bigm,1,1,1,1,1,1,0
barload_none,TIME_LIMIT,45.004014015197754,1.0,86299.0,0.0,12804,8484,30359,28098.208900669015,0.0,1.0,1,none,1,1,1,1,1,1,0
barload_indicator,TIME_LIMIT,45.00872302055359,1.0,53311.0,0.0,14244,9204,31799,28089.965852363013,0.0,1.0,1,indicator,1,1,1,1,1,1,0
no_exact_indicator_uppers,TIME_LIMIT,45.00967812538147,1.0,0.0,0.0,14244,9204,32469,28701.035514870535,0.0,1.0,1,bigm,0,1,1,1,1,1,0
no_od_chance_budget,TIME_LIMIT,45.01205015182495,1.0,0.0,0.0,14244,9204,33233,22589.257110016257,0.0,1.0,1,bigm,1,0,1,1,1,1,0
no_spot_chance_budget,TIME_LIMIT,45.00382995605469,1.0,97902.0,0.0,14244,9204,32735,21125.941642881087,0.0,1.0,1,bigm,1,1,0,1,1,1,0
no_spot_service_ratio,TIME_LIMIT,45.01417589187622,1.0,0.0,0.0,14244,9204,33219,27919.486323722696,0.0,1.0,1,bigm,1,1,1,0,1,1,0
no_migration,TIME_LIMIT,45.00557088851929,1.0,93995.0,0.0,13784,8744,30459,27789.54734633422,0.0,1.0,2,bigm,1,1,1,1,0,1,0
no_batch_completion,TIME_LIMIT,45.019569873809814,1.0,113235.0,0.0,14244,9204,33219,19418.639976568167,2519.204899371963,0.8702687262129684,3,bigm,1,1,1,1,1,0,0
slot_symmetry,TIME_LIMIT,45.01442885398865,1.0,65493.0,0.0,14244,9204,33244,28094.22611000883,0.0,1.0,1,bigm,1,1,1,1,1,1,1
