scenario,time,cluster_load,cluster_committed_load,active_servers,cluster_overbooking_ratio
scen_01,0,31.00475114377836,31.00475114377836,5,0.775118778594459
scen_01,1,30.135108081872982,30.135108081872982,5,0.7533777020468245
scen_01,2,31.568895396484894,31.568895396484894,5,0.7892223849121224
scen_01,3,32.85977589885681,32.85977589885681,5,0.8214943974714203
scen_01,4,33.100246648009076,33.100246648009076,5,0.8275061662002269
scen_01,5,31.58875505255922,31.58875505255922,5,0.7897188763139804
scen_01,6,31.09722432877237,31.09722432877237,5,0.7774306082193092
scen_01,7,32.08190434652677,32.08190434652678,5,0.8020476086631694
scen_01,8,31.5098694723294,31.5098694723294,5,0.7877467368082349
scen_01,9,29.63188306412207,29.63188306412207,5,0.7407970766030518
scen_01,10,27.5775803336472,27.5775803336472,5,0.6894395083411801
scen_01,11,28.34039697702859,28.34039697702859,5,0.7085099244257147
scen_01,12,31.318186219611324,31.318186219611324,5,0.7829546554902831
scen_01,13,28.56041309852597,28.56041309852597,5,0.7140103274631493
scen_01,14,31.740268908900156,31.740268908900156,5,0.7935067227225039
scen_01,15,30.66204051654281,30.66204051654281,5,0.7665510129135702
scen_01,16,27.735715137669494,27.735715137669494,5,0.6933928784417374
scen_01,17,27.873817305574555,27.873817305574555,5,0.6968454326393638
scen_01,18,30.22572440188539,30.22572440188539,5,0.7556431100471348
scen_01,19,27.597139135964504,27.597139135964504,5,0.6899284783991126
scen_01,20,26.729321955225593,26.729321955225593,5,0.6682330488806398
scen_01,21,32.2927407848687,32.2927407848687,5,0.8073185196217174
scen_01,22,31.903963336254073,31.903963336254073,5,0.7975990834063518
scen_01,23,29.840618316161773,29.840618316161773,5,0.7460154579040443
scen_02,0,27.39611386950873,27.39611386950873,5,0.6849028467377183
scen_02,1,31.19775119945618,31.197751199456185,5,0.7799437799864046
scen_02,2,32.377427833647324,32.377427833647324,5,0.8094356958411831
scen_02,3,34.05652019105134,34.05652019105134,5,0.8514130047762836
scen_02,4,33.166499881065086,33.166499881065086,5,0.8291624970266271
scen_02,5,30.11805039950307,30.11805039950307,5,0.7529512599875767
scen_02,6,31.17272780144205,31.17272780144205,5,0.7793181950360513
scen_02,7,27.94923830803062,27.94923830803062,5,0.6987309577007654
scen_02,8,31.410957300070024,31.410957300070024,5,0.7852739325017506
scen_02,9,30.495134283864935,30.495134283864935,5,0.7623783570966234
scen_02,10,25.675550317244678,25.675550317244678,5,0.641888757931117
scen_02,11,30.10837445604965,30.108374456049653,5,0.7527093614012413
scen_02,12,29.480264894698156,29.480264894698156,5,0.7370066223674538
scen_02,13,26.578703485366674,26.578703485366674,5,0.6644675871341669
scen_02,14,31.33491333171059,31.33491333171059,5,0.7833728332927647
scen_02,15,29.483720493103778,29.483720493103778,5,0.7370930123275945
scen_02,16,27.694559941814994,27.694559941814994,5,0.6923639985453749
scen_02,17,29.56585626915284,29.56585626915284,5,0.7391464067288209
scen_02,18,31.066569022871853,31.066569022871853,5,0.7766642255717964
