scenario,peak_server_load,peak_committed_server_load,peak_server_overbooking_ratio,gamma_count,phi_count,active_server_periods,peak_cluster_load,peak_cluster_committed_load,peak_cluster_overbooking_ratio,peak_server_utilization
scen_01,7.979424941196686,9.733939266961055,1.216742408370132,0,0,120,35.43452044608008,37.435790940079634,0.9358947735019909,0.9974281176495857
scen_02,7.981329470500789,9.391883056011334,1.1739853820014168,0,0,120,35.634697138694065,35.634697138694065,0.8908674284673517,0.9976661838125986
scen_03,7.969571914132832,8.637717258218721,1.0797146572773402,0,0,120,38.53179384356494,38.53179384356494,0.9632948460891235,0.996196489266604
scen_04,7.86477615354071,7.86477615354071,0.9830970191925887,0,0,120,34.115916421189695,34.115916421189695,0.8528979105297424,0.9830970191925887
scen_05,7.998776643086727,11.742299918609817,1.467787489826227,1,1,120,34.98254653868499,36.45486889095664,0.9113717222739159,0.9998470803858409
scen_06,7.973888768193913,11.969429100741834,1.4961786375927293,0,0,120,31.946897111267322,37.31663215844378,0.9329158039610945,0.9967360960242391
scen_07,7.979587873811969,8.54882070368905,1.0686025879611312,0,0,120,36.23318339358319,36.23318339358319,0.9058295848395798,0.9974484842264961
scen_08,7.936251215802437,8.235132315707604,1.0293915394634505,0,0,120,33.150003993153774,33.150003993153774,0.8287500998288444,0.9920314019753046
scen_09,7.86466546078406,9.49799402073756,1.187249252592195,0,0,120,33.805777709064955,35.66128360604689,0.8915320901511722,0.9830831825980075
scen_10,7.936671433930048,9.200191009006735,1.150023876125842,0,0,120,34.126434784086044,36.847537994919314,0.9211884498729829,0.992083929241256
