scenario,time,cluster_load,cluster_committed_load,active_servers,cluster_overbooking_ratio
scen_01,0,27.23159649738657,27.23159649738657,5,0.6807899124346642
scen_01,1,21.62221472426394,21.62221472426394,5,0.5405553681065985
scen_01,2,23.673257489792967,23.673257489792967,5,0.5918314372448241
scen_01,3,24.80396125137878,24.80396125137878,5,0.6200990312844695
scen_01,4,23.35043266029243,23.35043266029243,5,0.5837608165073107
scen_01,5,24.85322649256982,24.85322649256982,5,0.6213306623142455
scen_01,6,22.656051131064025,22.656051131064025,5,0.5664012782766006
scen_01,7,24.72645044636707,24.72645044636707,5,0.6181612611591768
scen_01,8,25.44463487709991,27.58656841621183,5,0.6896642104052957
scen_01,9,29.94066146641261,29.94066146641261,5,0.7485165366603153
scen_01,10,28.276685834366827,28.276685834366827,5,0.7069171458591706
scen_01,11,28.379356720381562,28.37935672038156,5,0.7094839180095389
scen_01,12,34.26984719869681,35.543169060315684,5,0.8885792265078921
scen_01,13,34.940957170592846,34.940957170592846,5,0.8735239292648211
scen_01,14,35.43452044608008,37.435790940079634,5,0.9358947735019909
scen_01,15,31.884637979893206,31.884637979893206,5,0.7971159494973301
scen_01,16,30.42334174876655,32.705377430942356,5,0.8176344357735589
scen_01,17,30.19255520374157,30.19255520374157,5,0.7548138800935392
scen_01,18,26.60866665501723,27.941000458794797,5,0.6985250114698699
scen_01,19,30.73815192640165,33.65767844837725,5,0.8414419612094312
scen_01,20,33.44828552002654,33.44828552002654,5,0.8362071380006635
scen_01,21,31.08545360946878,31.08545360946878,5,0.7771363402367195
scen_01,22,26.697896421780378,26.697896421780378,5,0.6674474105445094
scen_01,23,26.488249000090388,26.488249000090388,5,0.6622062250022597
scen_02,0,21.9478354460044,21.9478354460044,5,0.54869588615011
scen_02,1,22.425639713353416,22.425639713353416,5,0.5606409928338354
scen_02,2,29.754150599121687,29.754150599121683,5,0.7438537649780421
scen_02,3,26.574503962776962,27.38726477657337,5,0.6846816194143343
scen_02,4,26.960873062846257,26.960873062846254,5,0.6740218265711564
scen_02,5,23.452392345100368,23.452392345100368,5,0.5863098086275091
scen_02,6,28.84492789969874,28.84492789969874,5,0.7211231974924684
scen_02,7,26.67582490673083,27.20870187659377,5,0.6802175469148443
scen_02,8,26.999447844768092,26.999447844768095,5,0.6749861961192024
scen_02,9,26.304673230221965,26.304673230221965,5,0.6576168307555491
scen_02,10,24.248257791463942,24.248257791463942,5,0.6062064447865986
scen_02,11,31.807204090060342,32.56093487574521,5,0.8140233718936303
scen_02,12,30.062143888835614,30.062143888835614,5,0.7515535972208903
scen_02,13,35.634697138694065,35.634697138694065,5,0.8908674284673517
scen_02,14,33.56433463606007,35.465721706412744,5,0.8866430426603186
scen_02,15,30.924708049806753,32.67205822854049,5,0.8168014557135124
scen_02,16,31.64757790931583,32.557323639664396,5,0.8139330909916099
scen_02,17,34.010328429981485,34.48507641128824,5,0.862126910282206
scen_02,18,27.495472228007756,28.439000948442203,5,0.710975023711055
scen_02,19,31.109670896940532,31.10967089694053,5,0.7777417724235132
scen_02,20,29.775728148035583,29.775728148035583,5,0.7443932037008896
scen_02,21,29.55057356297148,29.55057356297148,5,0.738764339074287
scen_02,22,27.542448248139976,27.542448248139976,5,0.6885612062034994
scen_02,23,28.572725462652052,28.572725462652052,5,0.7143181365663013
scen_03,0,27.93555061590086,27.93555061590086,5,0.6983887653975215
scen_03,1,27.284127859048567,27.284127859048567,5,0.6821031964762142
scen_03,2,24.86421008425044,24.864210084250445,5,0.6216052521062612
scen_03,3,25.20428613412264,25.20428613412264,5,0.630107153353066
