l,n,t,i,usage
0,1,0,0,0.054857529422956075
0,1,1,0,0.054857529422956075
0,1,3,0,0.054857529422956075
0,1,4,0,0.054857529422956075
0,1,5,0,0.054857529422956075
0,1,6,0,0.054857529422956075
0,1,7,0,0.054857529422956075
0,1,8,0,0.054857529422956075
0,1,9,0,0.054857529422956075
0,1,10,0,0.054857529422956075
0,1,11,0,0.054857529422956075
0,1,12,0,0.054857529422956075
0,1,13,0,0.054857529422956075
0,1,15,0,0.054857529422956075
0,1,16,0,0.054857529422956075
0,1,17,0,0.054857529422956075
0,1,18,0,0.054857529422956075
0,1,19,0,0.054857529422956075
0,1,19,1,0.054857529422956075
0,1,20,1,0.054857529422956075
0,1,22,1,0.054857529422956075
0,1,23,1,0.054857529422956075
0,16,10,0,0.0563323335338115
0,16,11,0,0.0563323335338115
1,6,10,0,0.12315502131019893
1,7,0,0,0.11855361459366945
1,7,1,0,0.11855361459366945
1,7,2,0,0.11855361459366945
1,7,3,0,0.11855361459366945
1,7,4,0,0.11855361459366945
1,7,5,0,0.11855361459366945
1,7,6,0,0.11855361459366945
1,7,7,0,0.11855361459366945
1,7,8,0,0.11855361459366945
1,7,9,0,0.11855361459366945
1,7,10,0,0.11855361459366945
1,7,11,0,0.11855361459366945
1,7,12,0,0.11855361459366945
1,7,13,0,0.11855361459366945
1,7,15,0,0.11855361459366945
1,7,16,0,0.11855361459366945
1,7,17,0,0.11855361459366945
1,7,18,0,0.11855361459366945
1,7,19,0,0.11855361459366945
1,7,19,1,0.11855361459366945
1,7,21,1,0.11855361459366945
1,7,22,1,0.11855361459366945
1,7,23,1,0.11855361459366945
2,14,0,0,0.06822652885652952
2,14,3,0,0.06822652885652952
2,14,5,0,0.06822652885652952
2,14,9,0,0.06822652885652952
2,14,10,0,0.06822652885652952
2,14,11,0,0.06822652885652952
2,14,12,0,0.06822652885652952
2,14,13,0,0.06822652885652952
2,14,15,0,0.06822652885652952
2,14,16,0,0.06822652885652952
2,14,18,0,0.06822652885652952
2,14,19,0,0.06822652885652952
2,14,19,1,0.06822652885652952
2,14,22,1,0.06822652885652952
2,14,23,1,0.06822652885652952
2,19,0,0,0.06875065218787017
2,19,9,0,0.06875065218787017
2,19,11,0,0.06875065218787017
2,19,13,0,0.06875065218787017
2,19,16,0,0.06875065218787017
2,19,19,0,0.06875065218787017
2,19,19,1,0.06875065218787017
2,19,22,1,0.06875065218787017
2,19,23,1,0.06875065218787017
