scenario,min_equivalent_demand,mean_equivalent_demand,peak_equivalent_demand,peak_time,peak_on_demand,peak_spot,batch_total_work,batch_average_per_slot
scen_01,25.090587942369304,27.069596840408067,29.684151318450365,21,9.577630245177618,11.57511166866968,229.9628913954539,9.581787141477246
scen_02,24.245435894922927,26.66885814785292,29.462497387510233,16,9.401605297164172,11.775378143851388,225.77041444490123,9.407100601870885
scen_03,24.511390390976537,27.01087028665037,29.401028964045075,13,9.82401638948708,12.34037191278885,224.7620057762126,9.365083574008858
scen_04,23.97555158347904,26.488414582467744,29.03725893952462,20,9.860571295514276,11.638073998344792,215.61988632384052,8.984161930160022
scen_05,24.870542943463683,26.90506079635169,29.333197937819428,22,9.120200019704738,12.40989218164934,222.02646654735207,9.251102772806336
scen_06,23.98690519222849,26.073761919176828,27.98069658133759,18,9.22972983788389,11.736772601944672,205.32268694127382,8.555111955886408
scen_07,24.508842165624586,27.331855815920306,29.538012742960362,21,9.794078583720092,11.767603107338804,229.1749850075045,9.54895770864602
scen_08,24.781604458866322,27.18561267513179,31.174144675462713,12,10.39519914471018,11.551974359193288,223.19761113041847,9.299900463767436
scen_09,24.139309385480683,26.684243372637777,29.317410185102535,20,9.010993436194388,12.465766665727388,223.6931838740054,9.320549328083558
scen_10,23.252714674423196,27.087823412181198,29.63998698335804,11,9.648711783940698,11.570087310843162,228.44190901728783,9.518412875720326
