vm_id,hours,start_time,end_time,vm_category,vCPU,avg_cpu_mean,avg_mean,avg_peak,max_peak,selection_score,workload_type,workload_id
7KS4Ji9cTr3X047aWAeAdic7IKsJKPfhwBF/t80J3dPi+Mh/ViDKKI2ITHKC7nPU,24,0,23,Interactive,2,24.144985883219302,0.48289971766438594,0.7323671011265779,1.7321199266294172,1.1653970827839322,on_demand,od_00
8652eF6yN1G/CxNGuXLoCxsOjvdkG750Jv6Rl6FQPJAQcgTry3Uiczwm3sW13sdF,24,0,23,Interactive,4,46.35716938739779,1.8542867754959114,2.0019880483600594,2.9698404407710086,2.7444481585528115,on_demand,od_01
FVuELEKyd49lmZjQvji3TA6DE/00QoM9JtVoy67ampLYnmXU3W6qIYhewu9HCrMS,24,0,23,Interactive,2,49.60867818665513,0.9921735637331025,1.2158005708589952,1.8757616156244952,1.684740974765119,on_demand,od_02
FxBZWCCrYVSmMZQpsOb24N/bTDn1P1Q4NCRO2/SsfmGnt99BW95V81LYzmaXcQod,24,0,23,Interactive,8,22.01139603208904,1.760911682567123,3.950475583592613,7.86651332133687,5.91710391392683,on_demand,od_03
H+GpMhnpjAivw8ZgF7hTTWgXBg9rjLVgNY9qkaKq+zzM+zAKb6cA2stdAayEafZS,24,0,23,Interactive,4,23.161336567263003,0.92645346269052,1.370958507344165,1.9704007457018768,1.8635586937696342,on_demand,od_04
IntnoVNT3/zYtLFmU73fihk3aiRYQK+PkuyOuT7VJ2zcoKI1u07QtoGCXDHg6pHB,24,0,23,Interactive,2,48.27518274229272,0.9655036548458544,1.1976427476636595,1.7927641924046815,1.64583379576483,on_demand,od_05
Iuh1wd1Sy9+RpzoCC1G/6xfK5TZ6SrHsONPmcd2lV5DSoNjsWqXJKUPNi5JUjbEt,24,0,23,Interactive,4,24.481247112319153,0.9792498844927663,1.112875984187876,2.093864738869604,1.6363421689052768,on_demand,od_06
SxgTBgDuZKf26DCy/2TwSrnHvMDqOthqB6+zEX8jJmMbITWO57wwE/eoidCKJe0p,24,0,23,Interactive,4,21.02673586717349,0.8410694346869395,1.710604242833567,2.83453410790656,2.419237769810207,on_demand,od_07
T0FfcE5yBiKiSLxE2sVX/7LVprCd31XuVIBKt6+uDxfxFQHAZQq6xfFB4naTQt/q,24,0,23,Interactive,2,23.904351579932865,0.47808703159865723,0.6774980177101999,1.4503402642166126,1.040083083764353,on_demand,od_08
pS5zJTmAdl6TC/hJcis/9Rk6yuZgyzHIBAkCRtRoB/+fTDkzTaQvyJw9BzyhxYcU,24,0,23,Interactive,2,29.32776066711114,0.5865552133422228,1.942960534156428,1.9635657846216312,2.433851980311836,on_demand,od_09
