scenario,time,on_demand,spot,batch_total_work,batch_average_per_slot,equivalent_total_demand
scen_01,0,13.176040776773926,14.055555720612643,0.0,0.0,27.23159649738657
scen_01,1,9.087889884698766,12.534324839565173,0.0,0.0,21.62221472426394
scen_01,2,10.233376048081556,13.43988144171141,0.0,0.0,23.673257489792967
scen_01,3,10.877466729091932,13.926494522286848,0.0,0.0,24.80396125137878
scen_01,4,9.848609573740568,13.50182308655186,0.0,0.0,23.350432660292427
scen_01,5,10.455834535889197,14.397391956680623,0.0,0.0,24.85322649256982
scen_01,6,9.410469992659387,13.245581138404638,0.0,0.0,22.656051131064025
scen_01,7,10.149349233312375,14.577101213054695,0.0,0.0,24.726450446367068
scen_01,8,14.75775051907197,12.828817897139857,0.0,0.0,27.586568416211826
scen_01,9,15.815757216864526,14.124904249548084,0.0,0.0,29.94066146641261
scen_01,10,14.00117157798918,14.275514256377647,0.0,0.0,28.276685834366827
scen_01,11,11.277584870417428,17.101771849964134,0.0,0.0,28.379356720381562
scen_01,12,15.718630934441784,19.8245381258739,0.0,0.0,35.543169060315684
scen_01,13,16.704937543532782,18.23601962706006,0.0,0.0,34.94095717059284
scen_01,14,16.525547616420162,20.910243323659472,0.0,0.0,37.435790940079634
scen_01,15,12.38017915580341,19.504458824089795,0.0,0.0,31.884637979893206
scen_01,16,16.57867896683743,16.126698464104923,0.0,0.0,32.70537743094235
scen_01,17,12.135930941443656,18.056624262297913,0.0,0.0,30.19255520374157
scen_01,18,12.641434481555596,15.299565977239205,0.0,0.0,27.9410004587948
scen_01,19,16.394325039719178,17.263353408658073,0.0,0.0,33.657678448377254
scen_01,20,16.111373209092722,17.336912310933815,0.0,0.0,33.44828552002654
scen_01,21,12.902164902273329,18.18328870719545,0.0,0.0,31.08545360946878
scen_01,22,9.872847038170393,16.825049383609986,0.0,0.0,26.697896421780378
scen_01,23,13.442504395659649,13.04574460443074,0.0,0.0,26.488249000090388
scen_02,0,9.319748009557573,12.62808743644683,0.0,0.0,21.947835446004405
