i,t,u,load
0,0,0,0.0
0,1,0,0.0
0,2,0,0.0
0,3,0,0.0
0,4,0,0.0
0,5,0,0.0
0,6,0,0.0
0,7,0,0.0
0,8,0,0.0
0,9,0,0.0
0,10,0,0.0
0,11,0,0.0
0,12,0,0.0
0,13,0,0.0
0,14,0,0.0
0,15,0,0.0
0,16,0,0.0
0,17,0,0.0
0,18,0,0.0
0,19,0,0.0
0,20,0,0.0
0,21,0,0.0
0,22,0,0.0
0,23,0,0.0
1,0,0,0.0
1,1,0,0.0
1,2,0,0.0
1,3,0,0.0
1,4,0,0.0
1,5,0,0.0
1,6,0,0.0
1,7,0,0.0
1,8,0,0.0
1,9,0,0.0
1,10,0,0.0
1,11,0,0.0
1,12,0,0.0
1,13,0,0.0
1,14,0,0.0
1,15,0,0.0
1,16,0,0.0
1,17,0,0.0
1,18,0,0.0
1,19,0,0.0
1,20,0,0.0
1,21,0,0.0
1,22,0,0.0
1,23,0,0.0
2,0,0,0.0
2,1,0,0.0
2,2,0,0.0
2,3,0,0.0
2,4,0,0.0
2,5,0,0.0
2,6,0,0.0
2,7,0,0.0
2,8,0,0.0
2,9,0,0.0
2,10,0,0.0
2,11,0,0.0
2,12,0,0.0
2,13,0,0.0
2,14,0,0.0
2,15,0,0.0
2,16,0,0.0
2,17,0,0.0
2,18,0,0.0
2,19,0,0.0
2,20,0,0.0
2,21,0,0.0
2,22,0,0.0
2,23,0,0.0
3,0,1,0.4492279283671441
3,1,1,0.4989302538056656
3,2,0,0.0
3,3,0,0.0
3,4,0,0.0
3,5,0,0.0
3,6,0,0.0
3,7,0,0.0
3,8,0,0.0
3,9,0,0.0
3,10,0,0.0
3,11,0,0.0
3,12,0,0.0
3,13,0,0.0
3,14,1,0.9403789797819039
3,15,1,0.3469501916687576
3,16,1,0.6594109684333067
3,17,1,0.5552174518700747
3,18,1,0.25231939964448796
3,19,1,0.5552674109880886
3,20,0,0.0
3,21,0,0.0
3,22,0,0.0
3,23,0,0.0
4,0,1,0.39468024325331696
4,1,1,0.7870231133663883
4,2,1,0.9579272182416046
4,3,1,0.9114127595457112
4,4,1,0.9524440610898616
4,5,1,0.9984857237821269
4,6,1,0.9745509518827561
4,7,1,0.9813911162760416
4,8,1,0.9645864345932603
4,9,1,0.6485320440451876
4,10,1,0.6268247349768858
4,11,1,0.725014707178574
4,12,1,0.6504032429863467
4,13,1,0.6170683731367005
4,14,1,0.3546169059804723
4,15,1,0.5192264566816118
4,16,1,0.3095792532100816
4,17,1,0.7162609075258688
4,18,1,0.8605924299091683
4,19,1,0.9150144170965403
4,20,1,0.9727813370976645
4,21,1,0.9642459990443505
4,22,1,0.5754314488786875
4,23,1,0.5736487374676501
