workload_id,scenario,server,start_time,end_time,duration_hours
sp_00,scen_04,2,2,2,1
sp_00,scen_04,2,6,6,1
sp_00,scen_04,2,9,9,1
sp_00,scen_04,2,13,13,1
sp_00,scen_09,2,6,6,1
sp_00,scen_09,2,11,11,1
sp_00,scen_09,2,21,22,2
sp_01,scen_02,0,3,3,1
sp_01,scen_02,0,6,6,1
sp_01,scen_02,0,9,9,1
sp_01,scen_02,0,13,13,1
sp_01,scen_08,0,2,2,1
sp_01,scen_08,0,4,4,1
sp_01,scen_08,0,8,8,1
sp_01,scen_08,0,12,12,1
sp_02,scen_01,2,4,4,1
sp_02,scen_01,2,13,13,1
sp_02,scen_01,2,16,16,1
sp_02,scen_01,2,22,22,1
sp_02,scen_07,2,8,10,3
sp_02,scen_07,2,15,15,1
sp_03,scen_07,1,0,1,2
sp_03,scen_07,1,14,14,1
sp_03,scen_07,1,22,22,1
sp_03,scen_08,1,0,0,1
sp_03,scen_08,1,2,2,1
sp_03,scen_08,1,11,11,1
sp_03,scen_08,1,14,14,1
sp_04,scen_02,2,6,6,1
sp_04,scen_02,2,11,11,1
sp_04,scen_02,2,21,21,1
sp_04,scen_02,2,23,23,1
sp_04,scen_08,2,0,0,1
sp_04,scen_08,2,3,3,1
sp_04,scen_08,2,13,13,1
sp_04,scen_08,2,16,16,1
sp_05,scen_01,1,0,0,1
sp_05,scen_01,1,6,7,2
sp_05,scen_01,1,14,14,1
sp_05,scen_09,1,4,4,1
sp_05,scen_09,1,14,14,1
sp_05,scen_09,1,16,16,1
sp_05,scen_09,1,19,19,1
sp_06,scen_05,1,6,7,2
sp_06,scen_05,1,14,14,1
sp_06,scen_10,1,0,0,1
sp_06,scen_10,1,3,3,1
sp_06,scen_10,1,11,11,1
sp_06,scen_10,1,14,14,1
sp_07,scen_07,2,12,12,1
sp_07,scen_07,2,19,19,1
sp_07,scen_07,2,21,21,1
sp_07,scen_10,2,1,1,1
sp_07,scen_10,2,17,18,2
sp_07,scen_10,2,22,22,1
